Name of Galaxy,l,b,Distance,diameter, Galaxy type, Other name, Year of discovery
Milky Way,0,0,0,90,SBbc,,prehist.
Sagittarius Dwarf,5.6,-14.1,78,20,dSph,,1994
Ursa Major II,152.5,37.4,100,1,dSph,,2006
Coma Berenices Dwarf,241.9,83.6,144,1,dSph,,2006
Large Magellanic Cloud,280.5,-32.9,165,25,SBm,ESO 56-115,prehist.
Small Magellanic Cloud,302.8,-44.3,195,15,SBm,NGC 292,prehist.
Bootes Dwarf,358.0,69.6,197,2,dSph,,2006
Ursa Minor Dwarf,105.0,44.8,215,2,dSph,DDO 199,1954
Sculptor Dwarf,287.5,-83.2,258,3,dSph,ESO 351-30,1937
Draco Dwarf,86.4,34.7,267,2,dSph,DDO 208,1954
Sextans Dwarf,243.4,42.2,280,3,dSph,PGC 88608,1990
Ursa Major I,159.4,54.4,325,3,dSph,,2005
Carina Dwarf,260.1,-22.2,329,2,dSph,PGC 19441,1977
Fornax Dwarf,237.1,-65.7,450,5,dSph,ESO 356-04,1938
Hercules Dwarf,28.7,36.9,457,4,dSph,,2006
Canes Venatici II,113.6,82.7,489,2,dSph,,2006
Leo IV,265.4,56.5,522,2,dSph,,2006
Leo II,220.2,67.2,669,3,dSph,DDO 93,1950
Canes Venatici I,74.3,79.8,718,6,dSph,,2006
Leo I,226.0,49.1,815,3,dSph,DDO 74,1950
Leo T,214.9,43.7,1360,2,dIrr,,2007
Phoenix Dwarf,272.2,-68.9,1450,2,dIrr,ESO 245-7,1976
NGC 6822,25.3,-18.4,1520,8,Irr,DDO 209,1884
NGC 185,120.8,-14.5,2010,8,dE3,UGC 396,1787
Andromeda II,128.9,-29.2,2165,3,dSph,PGC 4601,1970
Leo A,196.9,52.4,2250,4,dIrr,DDO 69,1940
IC 1613,129.8,-60.6,2365,10,Irr,DDO 8,1890
Andromeda X,125.8,-18.0,2290,5,dSph,,2006
NGC 147,119.8,-14.3,2370,10,dE5,DDO 3,1830
Andromeda III,119.3,-26.2,2450,3,dSph,PGC 2121,1970
Andromeda VII,109.5,-10.0,2465,2,dSph,PGC 2807155,1999
Cetus Dwarf,101.4,-72.8,2485,3,dSph,PGC 3097691,1999
Andromeda IX,123.2,-19.7,2505,4,dSph,,2004
Andromeda I,121.7,-24.9,2520,2,dSph,PGC 2666,1970
LGS 3,126.8,-40.9,2520,2,dIrr,Pisces Dwarf,1978
Andromeda V,126.2,-15.1,2560,2,dSph,PGC 3097824,1998
Andromeda Galaxy,121.2,-21.6,2560,140,Sb,NGC 224,964
Andromeda XI,121.7,-29.1,2560,2,dSph,,2006
Andromeda XII,122.0,-28.5,2560,2,dSph,,2006
Andromeda XIII,123.0,-29.9,2560,2,dSph,,2006
Andromeda VI,106.1,-36.3,2595,3,dSph,PGC 2807158,1998
M32,121.2,-22.0,2625,8,dE2,NGC 221,1749
M110,120.7,-21.7,2690,15,dE5,NGC 205,1773
IC 10,119.0,-3.3,2690,8,dIrr,UGC 192,1890
Triangulum Galaxy,133.6,-31.3,2735,55,Sc,NGC 598,1654
Tucana Dwarf,322.9,-47.4,2870,2,dSph,PGC 69519,1990
Pegasus Dwarf,94.8,-43.5,3000,6,dIrr,DDO 216,
WLM,75.9,-73.6,3020,10,Irr,DDO 221,1909
Aquarius Dwarf,34.0,-31.3,3345,3,dIrr,DDO 210,1959
SagDIG,21.1,-16.3,3460,3,dIrr,ESO 594-4,1977
Antlia Dwarf,263.1,22.3,4030,3,dIrr,PGC 29194,1997
NGC 3109,262.1,23.1,4075,25,Irr,DDO 236,1836
Sextans A,246.2,39.9,4350,10,dIrr,DDO 75,
Sextans B,233.2,43.8,4385,8,dIrr,DDO 70,
